Version,type,order,code,key,category,question,guidance,no-guidance,yes-guidance,offering,service-name,analyst-reason,analyst-followup,compliant-answer,qualitative,highrisk,weight,cis,hippa,iso27002,nistcsf,800-171,800-53,trusted-ci,pci-321
3-02,-FULL-,1,QUAL-01,3-02-FULL-QUAL-01,Qualifiers,Does your product process protected health information (PHI) or any data covered by the Health Insurance Portability and Accountability Act?,, No need to answer HIPAA Questions,Need to answer HIPAA Questions,,,This qualifier determines the presence of PHI in the solution and sets the HIPAA section as required appropriately.,Reference the HIPAA section for follow-up review.,Yes,,TRUE,10,-,-,-,-,-,-,-,-
3.02,-FULL-,2,QUAL-02,3.02-FULL-QUAL-02,Qualifiers,Will institution data be shared with or hosted by any third parties? (e.g. any entity not wholly-owned by your company is considered a third-party),"The Institution views hosted solutions such as AWS, Rackspace, Azure, and other PaaS/SaaS offerings as third parties. If services such as these are used in your environment, respond ""Yes"".", No need to answer Assessment of Third Parties Section,State each third party which institutional data will be shared with and/or hosted by and their level of responsibility.,,,"Vendors oftentimes use other vendors to supplement and/or host their infrastructures and it is important to know what, if any, institutional data is shared with fourth-parties. Responses to this qualifier set the response requirement for the Third Parties section.",Reference the Third Parties section for follow-up review.,No,,TRUE,10,-,-,-,-,-,-,-,-
3.02,-FULL-,3,QUAL-03,3.02-FULL-QUAL-03,Qualifiers,Do you have a well documented Business Continuity Plan (BCP) that is tested annually?, ,Briefly summarize your response.,Provide a reference to your BCP and supporting documentation or submit it along with this fully-populated HECVAT.,yes,policy-development-bcp,"This qualifier determines the existence of a complete, fully-populated BCP, maintained by the vendor, and sets the Business Continuity Plan section as required appropriately.",Reference the Business Continuity Plan section for follow-up review.,Yes,qual,TRUE,10,-,-,-,-,-,-,-,-
3.02,-FULL-,4,QUAL-04,3.02-FULL-QUAL-04,Qualifiers,Do you have a well documented Disaster Recovery Plan (DRP) that is tested annually?, ,Briefly summarize your response.,Provide a reference to your DRP and supporting documentation or submit it along with this fully-populated HECVAT.,yes,policy-development-drp,"This qualifier determines the existence of a complete, fully-populated DRP, maintained by the vendor, and sets the Business Continuity Plan section as required appropriately.",Reference the Disaster Recovery Plan section for follow-up review.,Yes,qual,TRUE,0,-,-,-,-,-,-,-,-
3.02,-FULL-,5,QUAL-05,3.02-FULL-QUAL-05,Qualifiers,Is the vended product designed to process or store Credit Card information?,"Answer yes if your product handles PCI (Credit Card) information, either directly or via a third party", No need to answer PCI Questions,"Based on your 'Yes' response, you are required to fill out the PCI DSS section.",,,This qualifier determines the presence of PCI DSS in the solution and sets the PCI DSS section as required appropriately.,Reference the PCI DSS section for follow-up review.,No,qual,TRUE,10,-,-,-,-,-,-,-,-
3.02,-FULL-,6,QUAL-06,3.02-FULL-QUAL-06,Qualifiers,Does your company provide professional services pertaining to this product?,Answer yes if you provide consulting, No need to answer Consulting Questions,0,,,"When consultants are given access to a system containing institutional data, the ""sharing"" of data is not in the same context as traditional data sharing (i.e. hosting, etc.) and thus, many of the HECVAT questions do not apply. When consultants have access to a system (onsite of via remote affiliate-type accounts), the Consulting section is most relevant.",Reference the Consulting section for follow-up review.,Yes,qual,FALSE,10,-,-,-,-,-,-,-,-
3.02,-FULL-,7,QUAL-07,3.02-FULL-QUAL-07,Qualifiers,Select your hosting option,"If you are using an option not listed, or a combination of options, select ""Other""", , ,,,0,0,Yes,qual,FALSE,10,-,-,-,-,-,-,-,-
3.02,-FULL-,8,COMP-01,3.02-FULL-COMP-01,Company,"Describe your organization’s business background and ownership structure, including all parent and subsidiary relationships.",Include circumstances that may involve off-shoring or multi-national agreements, , ,,,"Defining scale of company (support, resources, skillsets), General information about the organization that may be concerning.","Follow-up responses to this one are normally unique to their response. Vague answers here usually result in some footprinting of a vendor to determine their ""reputation"".",Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,9,COMP-02,3.02-FULL-COMP-02,Company,Have you had an unplanned disruption to this product/service in the last 12 months?, , ,Provide a detailed summary of the unplanned disruption.,,,"We want transparency from the vendor and an honest answer to this question, regardless of the response, is a good step in building trust.","If a vendor says ""No"", it is taken at face value. If you organization is capable of conducting reconnaissance, it is encouraged. If a vendor has experienced a breach, evaluate the circumstance of the incident and what the vendor has done in response to the breach.",No,,FALSE,10,-,-,-,-,-,-,-,-
3.02,-FULL-,10,COMP-03,3.02-FULL-COMP-03,Company,Do you have a dedicated Information Security staff or office?, ,Describe any plans to create an Information Security Office for your organization.,"Describe your Information Security Office, including size, talents, resources, etc.",yes,"fractional-ciso, managed-security","Understanding the security program size (and capabilities) of a vendor has a significant impact on their ability to respond effectively to a security incident. The size of a vendor will determine their SO size, or lack thereof. Use the knowledge of this response when evaluating other vendor statements.","Vague responses to this question should be investigated further. Vendors without dedicated security personnel commonly have no security or security is embedded or dual-homed within operations (administrators). Ask about separation of duties, principle of least privilege, etc. - there are many ways to get additional program state information from the vendor.",Yes,,FALSE,15,-,-,-,-,-,-,-,-
